DANCe RAJ2000_1 RAJ2000_2 RAJ2000_3 DEJ2000_1 DEJ2000_2 DEJ2000_3 pmRA e_pmRA pmDE e_pmDE plx e_plx
J034229.71+204839.6 03 42 29.71 20 48 39.63 19.1 2.3 -45.3 2.3 7.6 1.3
J034229.87+200859.9 03 42 29.87 20 08 59.95 19.4 1.1 -46.8 1.1 7.9 1.3
J034230.58+250239.2 03 42 30.58 25 02 39.22 18.8 1.1 -46.6 1.0 7.7 1.2
J034231.20+244921.6 03 42 31.20 24 49 21.61 20.4 0.3 -47.1 0.2 7.9 1.2
J034233.10+214216.8 03 42 33.10 21 42 16.76 20.7 0.3 -45.8 0.2 7.8 1.2
J034233.97+241100.8 03 42 33.97 24 11 00.76 19.9 0.3 -42.3 0.2 7.2 1.2
J034234.02+232451.9 03 42 34.02 23 24 51.90 18.7 0.4 -44.6 0.3 7.4 1.2
J034235.64+215029.7 03 42 35.64 21 50 29.74 18.6 0.3 -47.0 0.2 7.8 1.2
J034236.26+232204.7 03 42 36.26 23 22 04.74 18.0 0.3 -43.0 0.2 7.2 1.2
J034236.94+251357.7 03 42 36.94 25 13 57.68 19.3 0.3 -46.6 0.2 7.7 1.2
J034238.35+252844.4 03 42 38.35 25 28 44.44 18.6 0.4 -42.1 0.3 7.0 1.1
J034240.22+235921.6 03 42 40.22 23 59 21.59 19.7 0.3 -45.9 0.2 7.7 1.2
J034241.17+240142.8 03 42 41.17 24 01 42.83 19.7 0.3 -43.2 0.2 7.3 1.2
J034241.85+240015.7 03 42 41.85 24 00 15.66 17.8 0.3 -45.8 0.2 7.5 1.2
J034242.11+251148.8 03 42 42.11 25 11 48.81 19.5 0.4 -48.7 0.3 8.0 1.3
J034242.84+251651.8 03 42 42.84 25 16 51.76 17.8 0.4 -45.4 0.3 7.4 1.2
J034243.81+253206.1 03 42 43.81 25 32 06.10 18.0 0.4 -43.1 0.3 7.1 1.2
J034244.36+215113.0 03 42 44.36 21 51 12.96 19.7 0.3 -45.0 0.2 7.6 1.2
J034244.36+230616.1 03 42 44.36 23 06 16.12 18.4 0.3 -47.8 0.2 7.9 1.3
J034244.46+235815.2 03 42 44.46 23 58 15.23 18.9 0.4 -45.5 0.3 7.6 1.2
J034244.46+235815.2 03 42 44.46 23 58 15.17 21.6 1.2 -41.7 1.2 7.2 1.2
J034245.65+234922.6 03 42 45.65 23 49 22.62 19.2 0.4 -44.8 0.4 7.5 1.2
J034248.17+240401.2 03 42 48.17 24 04 01.24 18.9 0.4 -42.0 0.3 7.1 1.2
J034248.91+233448.5 03 42 48.91 23 34 48.50 21.8 0.3 -46.4 0.2 7.9 1.3
J034251.67+230843.8 03 42 51.67 23 08 43.75 18.2 0.3 -43.7 0.2 7.3 1.2
J034253.33+233107.2 03 42 53.33 23 31 07.16 18.7 1.2 -45.8 1.2 7.6 1.2
J034254.00+260816.2 03 42 54.00 26 08 16.25 19.7 0.4 -46.4 0.3 7.7 1.2
J034255.11+242935.1 03 42 55.11 24 29 35.07 19.9 1.1 -43.2 1.1 7.3 1.2
J034256.24+222238.4 03 42 56.24 22 22 38.40 20.1 1.0 -45.9 1.0 7.7 1.2
J034256.54+225118.0 03 42 56.54 22 51 17.98 17.5 0.3 -42.3 0.2 7.0 1.1
J034256.54+240457.9 03 42 56.54 24 04 57.89 18.0 0.3 -47.6 0.2 7.8 1.2
J034256.56+241345.6 03 42 56.56 24 13 45.62 19.0 0.3 -46.8 0.2 7.7 1.2
J034257.18+270443.8 03 42 57.18 27 04 43.80 16.6 5.6 -40.1 5.7 6.6 1.4
J034257.79+194706.1 03 42 57.79 19 47 06.06 24.1 2.8 -47.3 2.7 8.2 1.4
J034258.59+201245.0 03 42 58.59 20 12 45.03 16.0 0.4 -39.2 0.4 6.6 1.1
J034259.22+225403.2 03 42 59.22 22 54 03.21 20.0 0.4 -45.1 0.3 7.6 1.2
J034259.92+224251.6 03 42 59.92 22 42 51.58 20.0 0.4 -42.8 0.4 7.3 1.2
J034300.17+244352.5 03 43 00.17 24 43 52.49 20.5 0.3 -47.9 0.2 8.0 1.3
J034301.26+241452.5 03 43 01.26 24 14 52.49 18.5 0.3 -45.3 0.2 7.5 1.2
J034301.40+232930.4 03 43 01.40 23 29 30.36 19.1 1.0 -45.4 1.0 7.6 1.2
J034303.82+235419.5 03 43 03.82 23 54 19.52 22.4 0.6 -42.9 0.5 7.4 1.2
J034304.20+224803.2 03 43 04.20 22 48 03.23 19.0 0.3 -46.6 0.2 7.7 1.2
J034304.36+252612.1 03 43 04.36 25 26 12.13 19.1 0.3 -40.2 0.2 6.8 1.1
J034305.02+254434.9 03 43 05.02 25 44 34.87 17.8 1.4 -48.9 1.4 7.9 1.3
J034305.54+244928.4 03 43 05.54 24 49 28.39 19.3 0.3 -46.5 0.2 7.7 1.2
J034305.74+210149.1 03 43 05.74 21 01 49.15 18.1 1.8 -45.9 1.8 7.6 1.3
J034306.50+221749.3 03 43 06.50 22 17 49.26 22.2 0.4 -44.3 0.3 7.6 1.2
J034307.58+253428.8 03 43 07.58 25 34 28.85 15.8 0.8 -42.6 0.7 6.9 1.1
J034309.75+244132.9 03 43 09.75 24 41 32.94 22.7 0.3 -46.8 0.2 8.0 1.3
J034311.64+240652.5 03 43 11.64 24 06 52.45 19.4 0.6 -44.7 0.5 7.5 1.2
J034311.76+253131.9 03 43 11.76 25 31 31.93 20.7 0.4 -50.1 0.3 8.3 1.3
J034313.07+243919.4 03 43 13.07 24 39 19.42 20.2 0.3 -44.2 0.2 7.5 1.2
J034313.46+241101.1 03 43 13.46 24 11 01.10 18.4 0.3 -44.2 0.2 7.3 1.2
J034316.10+242228.0 03 43 16.10 24 22 27.96 19.2 0.6 -43.2 0.5 7.2 1.2
J034316.60+235001.6 03 43 16.60 23 50 01.57 19.3 0.3 -45.3 0.2 7.6 1.2
J034319.01+224710.5 03 43 19.01 22 47 10.52 19.7 0.3 -45.9 0.2 7.7 1.2
J034320.57+242635.0 03 43 20.57 24 26 35.01 19.6 0.3 -44.6 0.2 7.5 1.2
J034321.11+241109.1 03 43 21.11 24 11 09.14 18.5 0.3 -44.0 0.2 7.3 1.2
J034322.56+230056.3 03 43 22.56 23 00 56.25 17.0 0.8 -46.0 0.8 7.5 1.2
J034324.98+235201.4 03 43 24.98 23 52 01.44 21.6 0.4 -43.5 0.3 7.4 1.2
J034325.16+225344.5 03 43 25.16 22 53 44.46 19.4 0.3 -45.6 0.2 7.6 1.2
J034326.21+260230.5 03 43 26.21 26 02 30.46 19.2 4.6 -41.7 4.6 7.0 1.3
J034326.45+224242.3 03 43 26.45 22 42 42.34 18.1 0.5 -39.4 0.4 6.7 1.1
J034326.97+242709.9 03 43 26.97 24 27 09.86 18.6 0.3 -43.6 0.2 7.3 1.2
J034327.38+223952.9 03 43 27.38 22 39 52.89 20.7 3.8 -46.1 3.8 7.8 1.4
J034327.44+223741.2 03 43 27.44 22 37 41.18 22.0 0.3 -48.9 0.2 8.3 1.3
J034327.88+250141.1 03 43 27.88 25 01 41.08 17.9 0.3 -45.3 0.3 7.5 1.2
J034328.05+262955.6 03 43 28.05 26 29 55.58 14.8 1.7 -39.9 1.7 6.5 1.1
J034328.20+245331.0 03 43 28.20 24 53 30.98 21.7 0.3 -45.4 0.2 7.7 1.2
J034328.73+240906.3 03 43 28.73 24 09 06.33 19.3 0.3 -45.1 0.2 7.5 1.2
J034329.89+243923.7 03 43 29.89 24 39 23.70 20.4 0.3 -48.9 0.2 8.1 1.3
J034331.86+213620.1 03 43 31.86 21 36 20.11 22.9 0.5 -48.6 0.4 8.3 1.3
J034334.14+253525.9 03 43 34.14 25 35 25.87 21.4 0.3 -45.3 0.2 7.6 1.2
J034334.19+250216.6 03 43 34.19 25 02 16.62 15.2 0.3 -40.1 0.3 6.6 1.1
J034334.48+255730.5 03 43 34.48 25 57 30.53 17.9 1.2 -45.8 1.2 7.5 1.2
J034336.58+231233.9 03 43 36.58 23 12 33.89 20.4 0.7 -44.4 0.7 7.5 1.2
J034336.67+254700.6 03 43 36.67 25 47 00.57 24.4 0.4 -47.4 0.3 8.1 1.3
J034337.11+233831.9 03 43 37.11 23 38 31.87 17.0 0.6 -43.3 0.6 7.2 1.2
J034337.31+252432.1 03 43 37.31 25 24 32.14 22.0 0.3 -47.5 0.2 8.0 1.3
J034337.56+263201.1 03 43 37.56 26 32 01.09 18.0 0.6 -39.6 0.5 6.6 1.1
J034339.04+234405.3 03 43 39.04 23 44 05.32 21.5 0.3 -46.1 0.2 7.8 1.2
J034339.72+234132.6 03 43 39.72 23 41 32.61 20.8 0.3 -46.8 0.2 7.9 1.3
J034340.30+243011.4 03 43 40.30 24 30 11.45 17.9 0.4 -41.5 0.3 6.9 1.1
J034341.53+233856.9 03 43 41.53 23 38 56.94 19.9 1.0 -44.1 1.0 7.4 1.2
J034342.89+255137.0 03 43 42.89 25 51 37.01 19.7 0.3 -48.2 0.2 8.0 1.3
J034343.15+243256.1 03 43 43.15 24 32 56.09 17.5 0.3 -41.7 0.3 6.9 1.1
J034343.24+242228.5 03 43 43.24 24 22 28.49 18.0 1.0 -43.9 0.9 7.3 1.2
J034343.52+241250.1 03 43 43.52 24 12 50.13 20.5 0.3 -44.0 0.2 7.4 1.2
J034343.71+242915.8 03 43 43.71 24 29 15.78 18.2 0.3 -45.1 0.2 7.5 1.2
J034344.08+253949.6 03 43 44.08 25 39 49.57 19.6 0.3 -44.8 0.2 7.5 1.2
J034344.97+230321.1 03 43 44.97 23 03 21.08 19.3 0.3 -44.4 0.2 7.5 1.2
J034346.28+235837.9 03 43 46.28 23 58 37.88 22.1 0.7 -46.1 0.7 7.8 1.3
J034347.09+260435.2 03 43 47.09 26 04 35.19 17.2 0.8 -45.4 0.8 7.4 1.2
J034348.34+250015.7 03 43 48.34 25 00 15.74 19.9 0.1 -45.4 0.2 7.6 1.2
J034348.45+250236.6 03 43 48.45 25 02 36.56 17.6 0.9 -43.2 0.9 7.1 1.2
J034350.15+241229.7 03 43 50.15 24 12 29.71 20.2 1.2 -41.8 1.2 7.1 1.2
J034351.75+241416.0 03 43 51.75 24 14 16.00 17.4 0.3 -43.1 0.2 7.1 1.2
J034352.16+245029.4 03 43 52.16 24 50 29.42 20.5 0.8 -44.6 0.7 7.5 1.2
J034352.77+241848.5 03 43 52.77 24 18 48.46 17.5 0.4 -43.4 0.3 7.2 1.2
J034352.78+252930.5 03 43 52.78 25 29 30.55 20.5 0.3 -46.2 0.2 7.7 1.2
J034353.87+252830.3 03 43 53.87 25 28 30.30 19.3 0.3 -46.1 0.2 7.6 1.2
J034353.87+252830.0 03 43 53.87 25 28 30.05 23.3 0.8 -45.7 0.8 7.8 1.3
J034356.00+253625.3 03 43 56.00 25 36 25.30 19.8 0.4 -45.9 0.4 7.6 1.2
J034357.00+235705.8 03 43 57.00 23 57 05.82 20.9 0.3 -49.6 0.2 8.3 1.3
J034357.28+241320.4 03 43 57.28 24 13 20.36 19.3 0.3 -43.7 0.2 7.3 1.2
J034402.28+250353.5 03 44 02.28 25 03 53.52 21.3 0.4 -45.2 0.3 7.6 1.2
J034402.50+211316.0 03 44 02.50 21 13 15.96 19.9 0.4 -41.8 0.3 7.2 1.2
J034404.92+265810.5 03 44 04.92 26 58 10.46 19.4 2.1 -43.0 2.2 7.2 1.2
J034405.26+225013.5 03 44 05.26 22 50 13.49 17.9 1.2 -46.7 1.1 7.7 1.2
J034408.81+230447.3 03 44 08.81 23 04 47.31 20.4 0.4 -44.1 0.3 7.5 1.2
J034409.32+230846.8 03 44 09.32 23 08 46.84 20.0 0.3 -43.5 0.2 7.4 1.2
J034409.61+243522.1 03 44 09.61 24 35 22.11 21.1 0.4 -44.5 0.3 7.5 1.2
J034409.92+241603.9 03 44 09.92 24 16 03.86 19.5 0.3 -41.7 0.2 7.1 1.2
J034410.76+253738.1 03 44 10.76 25 37 38.08 18.1 0.4 -45.8 0.3 7.5 1.2
J034410.96+244845.6 03 44 10.96 24 48 45.63 16.0 0.8 -43.8 0.7 7.1 1.2
J034411.28+245234.1 03 44 11.28 24 52 34.10 18.9 0.8 -45.3 0.8 7.5 1.2
J034411.92+191819.0 03 44 11.92 19 18 18.96 18.1 3.4 -37.7 3.1 6.5 1.2
J034412.75+240154.1 03 44 12.75 24 01 54.08 18.5 1.0 -46.9 1.0 7.7 1.2
J034414.65+234940.1 03 44 14.65 23 49 40.08 19.8 0.4 -39.6 0.3 6.8 1.1
J034416.46+233704.0 03 44 16.46 23 37 03.99 21.2 0.3 -47.1 0.2 7.9 1.3
J034417.75+242646.8 03 44 17.75 24 26 46.84 19.6 0.3 -41.9 0.2 7.1 1.2
J034418.35+231522.2 03 44 18.35 23 15 22.18 18.0 0.6 -45.5 0.6 7.5 1.2
J034419.07+243518.1 03 44 19.07 24 35 18.13 20.3 0.4 -45.1 0.3 7.6 1.2
J034420.66+241510.8 03 44 20.66 24 15 10.77 17.8 0.3 -43.2 0.2 7.2 1.2
J034421.92+244605.9 03 44 21.92 24 46 05.86 18.6 0.7 -48.0 0.7 7.9 1.3
J034422.15+231054.6 03 44 22.15 23 10 54.60 16.1 0.6 -43.1 0.6 7.1 1.2
J034422.45+233901.2 03 44 22.45 23 39 01.21 18.3 0.8 -47.5 0.8 7.8 1.2
J034423.07+240405.5 03 44 23.07 24 04 05.49 18.0 0.5 -45.3 0.5 7.5 1.2
J034423.23+253845.1 03 44 23.23 25 38 45.13 21.0 0.4 -50.1 0.3 8.3 1.3
J034423.40+252129.9 03 44 23.40 25 21 29.89 20.8 0.3 -45.0 0.2 7.6 1.2
J034424.82+244605.9 03 44 24.82 24 46 05.90 18.0 0.7 -45.6 0.7 7.5 1.2
J034425.07+253404.1 03 44 25.07 25 34 04.14 19.9 0.3 -47.4 0.2 7.9 1.3
J034425.51+222749.8 03 44 25.51 22 27 49.81 18.1 0.3 -44.5 0.2 7.4 1.2
J034425.59+224008.0 03 44 25.59 22 40 07.96 18.3 0.3 -43.8 0.2 7.3 1.2
J034425.60+244052.5 03 44 25.60 24 40 52.54 20.3 0.4 -47.0 0.3 7.8 1.2
J034425.72+242341.0 03 44 25.72 24 23 40.99 22.7 1.1 -48.7 1.0 8.2 1.3
J034426.54+242911.2 03 44 26.54 24 29 11.25 20.9 0.4 -41.7 0.3 7.1 1.2
J034426.89+242431.5 03 44 26.89 24 24 31.46 19.5 0.5 -43.1 0.4 7.3 1.2
J034427.28+254441.9 03 44 27.28 25 44 41.92 15.5 1.4 -43.0 1.4 7.0 1.2
J034427.50+241416.9 03 44 27.50 24 14 16.87 19.8 0.5 -46.2 0.4 7.7 1.2
J034427.91+235959.6 03 44 27.91 23 59 59.56 18.6 0.6 -44.1 0.5 7.4 1.2
J034429.49+222524.8 03 44 29.49 22 25 24.76 18.1 0.3 -48.1 0.2 7.9 1.3
J034430.08+253546.7 03 44 30.08 25 35 46.74 19.3 0.6 -42.7 0.5 7.2 1.2
J034431.27+253514.9 03 44 31.27 25 35 14.88 16.9 0.8 -44.9 0.7 7.3 1.2
J034431.72+233526.0 03 44 31.72 23 35 25.98 20.7 0.3 -44.5 0.2 7.5 1.2
J034431.96+235231.1 03 44 31.96 23 52 31.11 18.8 1.2 -43.4 1.1 7.3 1.2
J034432.16+250812.5 03 44 32.16 25 08 12.54 20.7 0.3 -47.1 0.2 7.9 1.3
J034432.32+252518.1 03 44 32.32 25 25 18.08 20.4 0.3 -46.0 0.2 7.7 1.2
J034433.07+254509.7 03 44 33.07 25 45 09.66 21.5 0.4 -43.5 0.3 7.4 1.2
J034433.50+261453.0 03 44 33.50 26 14 52.98 16.8 1.0 -43.1 1.0 7.1 1.2
J034434.30+235124.5 03 44 34.30 23 51 24.45 20.1 0.5 -43.7 0.5 7.4 1.2
J034435.16+251342.9 03 44 35.16 25 13 42.89 18.3 0.3 -46.3 0.2 7.6 1.2
J034435.90+233441.8 03 44 35.90 23 34 41.82 17.8 0.4 -42.3 0.3 7.1 1.2
J034436.29+233011.0 03 44 36.29 23 30 10.97 19.1 0.3 -44.0 0.2 7.4 1.2
J034437.44+250815.6 03 44 37.44 25 08 15.60 18.2 1.0 -47.8 1.0 7.8 1.3
J034437.78+225515.5 03 44 37.78 22 55 15.45 21.0 0.5 -43.4 0.5 7.4 1.2
J034438.95+230225.2 03 44 38.95 23 02 25.15 22.4 0.5 -44.9 0.5 7.7 1.2
J034439.62+243143.9 03 44 39.62 24 31 43.88 20.0 0.5 -45.8 0.4 7.7 1.2
J034439.83+205442.2 03 44 39.83 20 54 42.20 15.8 1.4 -39.8 1.3 6.6 1.1
J034444.86+204452.8 03 44 44.86 20 44 52.82 19.6 1.1 -43.5 1.0 7.4 1.2
J034447.31+195541.4 03 44 47.31 19 55 41.41 19.8 2.6 -38.3 2.5 6.7 1.2
J034447.58+263602.7 03 44 47.58 26 36 02.73 18.2 0.6 -39.0 0.6 6.6 1.1
J034447.85+241252.4 03 44 47.85 24 12 52.41 18.4 0.5 -41.9 0.5 7.0 1.1
J034448.21+241722.1 03 44 48.21 24 17 22.08 18.9 0.7 -44.9 0.7 7.5 1.2
J034451.26+233420.7 03 44 51.26 23 34 20.66 19.6 0.3 -44.0 0.2 7.4 1.2
J034452.42+243649.3 03 44 52.42 24 36 49.32 16.0 0.7 -44.9 0.6 7.3 1.2
J034452.86+213416.3 03 44 52.86 21 34 16.32 22.7 0.5 -48.2 0.4 8.2 1.3
J034453.12+233422.8 03 44 53.12 23 34 22.82 19.0 0.4 -42.8 0.3 7.2 1.2
J034454.10+242646.6 03 44 54.10 24 26 46.60 18.7 0.5 -43.2 0.4 7.2 1.2
J034456.01+235553.3 03 44 56.01 23 55 53.34 23.6 0.4 -45.6 0.3 7.9 1.3
J034456.69+233623.7 03 44 56.69 23 36 23.67 19.4 0.3 -45.0 0.2 7.5 1.2
J034457.35+235932.2 03 44 57.35 23 59 32.24 17.6 0.8 -42.9 0.7 7.1 1.2
J034458.02+232431.1 03 44 58.02 23 24 31.06 16.8 0.3 -44.8 0.2 7.3 1.2
J034458.60+235540.7 03 44 58.60 23 55 40.74 21.0 0.5 -44.3 0.4 7.5 1.2
J034459.47+232118.2 03 44 59.47 23 21 18.22 21.2 0.3 -50.5 0.2 8.4 1.3
J034501.21+252105.8 03 45 01.21 25 21 05.80 19.8 0.3 -46.9 0.2 7.8 1.2
J034505.00+234606.4 03 45 05.00 23 46 06.41 19.8 0.3 -45.8 0.2 7.7 1.2
J034505.31+252911.1 03 45 05.31 25 29 11.11 21.4 0.3 -46.9 0.2 7.9 1.3
J034506.56+244042.6 03 45 06.56 24 40 42.60 14.8 0.7 -41.4 0.7 6.7 1.1
J034506.78+233651.6 03 45 06.78 23 36 51.56 17.7 0.3 -44.2 0.2 7.3 1.2
J034508.40+232500.9 03 45 08.40 23 25 00.92 18.8 0.3 -45.6 0.2 7.6 1.2
J034508.68+223830.5 03 45 08.68 22 38 30.47 22.0 0.3 -47.3 0.2 8.0 1.3
J034509.03+253249.1 03 45 09.03 25 32 49.09 20.5 0.3 -45.2 0.2 7.6 1.2
J034509.46+235844.7 03 45 09.46 23 58 44.75 18.5 0.4 -43.6 0.4 7.3 1.2
J034509.82+240432.6 03 45 09.82 24 04 32.62 17.5 0.6 -43.8 0.5 7.2 1.2
J034510.81+230258.1 03 45 10.81 23 02 58.09 19.7 0.3 -46.4 0.2 7.8 1.2
J034511.72+234143.6 03 45 11.72 23 41 43.58 21.0 1.4 -45.7 1.4 7.7 1.3
J034512.08+243018.0 03 45 12.08 24 30 18.03 18.4 0.8 -46.5 0.8 7.7 1.2
J034512.14+232153.0 03 45 12.14 23 21 53.04 19.0 0.3 -45.0 0.2 7.5 1.2
J034512.43+224150.8 03 45 12.43 22 41 50.85 19.7 0.3 -47.1 0.2 7.9 1.3
J034512.49+242802.2 03 45 12.49 24 28 02.17 20.1 0.8 -44.8 0.8 7.5 1.2
J034512.62+235345.1 03 45 12.62 23 53 45.10 19.4 0.3 -44.3 0.2 7.4 1.2
J034513.15+241523.5 03 45 13.15 24 15 23.48 20.2 0.5 -46.0 0.4 7.7 1.2
J034513.54+250515.6 03 45 13.54 25 05 15.58 20.0 0.7 -47.2 0.7 7.8 1.3
J034514.22+250519.4 03 45 14.22 25 05 19.40 17.9 0.7 -41.4 0.7 6.9 1.1
J034515.27+284908.2 03 45 15.27 28 49 08.19 23.6 3.2 -47.5 3.2 8.1 1.4
J034516.41+233401.7 03 45 16.41 23 34 01.74 18.3 0.3 -43.1 0.2 7.2 1.2
J034516.66+243432.1 03 45 16.66 24 34 32.07 21.3 1.2 -45.5 1.1 7.7 1.2
J034518.15+250558.1 03 45 18.15 25 05 58.15 18.8 0.4 -46.8 0.3 7.7 1.2
J034519.97+242824.3 03 45 19.97 24 28 24.34 19.8 0.8 -44.9 0.8 7.5 1.2
J034521.19+234338.8 03 45 21.19 23 43 38.76 19.5 0.1 -44.4 0.3 7.4 1.2
J034521.68+243237.0 03 45 21.68 24 32 37.00 17.6 0.5 -43.0 0.4 7.1 1.2
J034524.70+243846.3 03 45 24.70 24 38 46.29 17.1 0.7 -42.7 0.7 7.0 1.2
J034524.79+242045.1 03 45 24.79 24 20 45.14 18.6 0.5 -42.0 0.4 7.1 1.2
J034526.55+223132.0 03 45 26.55 22 31 32.02 19.5 0.3 -45.3 0.2 7.6 1.2
J034527.51+233756.9 03 45 27.51 23 37 56.87 20.4 0.4 -44.2 0.3 7.5 1.2
J034531.99+211448.1 03 45 31.99 21 14 48.08 19.3 0.9 -48.0 0.8 8.0 1.3
J034532.95+241811.3 03 45 32.95 24 18 11.33 18.3 0.5 -43.6 0.5 7.2 1.2
J034533.30+233434.2 03 45 33.30 23 34 34.24 18.8 1.7 -39.8 1.6 6.8 1.1
J034533.98+231106.6 03 45 33.98 23 11 06.58 18.8 0.3 -43.9 0.2 7.4 1.2
J034535.70+242434.1 03 45 35.70 24 24 34.08 18.2 0.7 -42.3 0.6 7.1 1.2
J034536.73+243906.4 03 45 36.73 24 39 06.39 17.4 0.5 -43.1 0.4 7.1 1.2
J034537.75+234350.2 03 45 37.75 23 43 50.21 22.6 0.3 -45.3 0.3 7.8 1.2
J034537.79+242008.2 03 45 37.79 24 20 08.20 18.7 1.0 -45.9 0.9 7.6 1.2
J034538.99+235700.9 03 45 38.99 23 57 00.89 20.0 0.4 -43.1 0.3 7.3 1.2
J034539.29+240820.4 03 45 39.29 24 08 20.36 18.2 0.4 -45.2 0.3 7.5 1.2
J034539.90+224140.1 03 45 39.90 22 41 40.06 20.2 0.8 -43.8 0.8 7.4 1.2
J034540.77+283205.7 03 45 40.77 28 32 05.73 20.6 2.1 -42.6 2.1 7.2 1.2
J034541.27+235409.8 03 45 41.27 23 54 09.82 18.3 0.4 -43.8 0.3 7.3 1.2
J034541.68+254112.4 03 45 41.68 25 41 12.38 20.6 0.3 -45.9 0.2 7.7 1.2
J034541.87+242553.2 03 45 41.87 24 25 53.19 22.6 0.8 -48.7 0.8 8.2 1.3
J034542.32+240411.2 03 45 42.32 24 04 11.20 18.2 0.3 -41.6 0.2 7.0 1.1
J034542.87+232012.2 03 45 42.87 23 20 12.25 18.5 0.3 -44.3 0.2 7.4 1.2
J034543.18+260226.4 03 45 43.18 26 02 26.44 17.0 0.8 -42.9 0.8 7.0 1.2
J034544.42+241312.8 03 45 44.42 24 13 12.80 17.9 0.7 -49.8 0.6 8.1 1.3
J034546.48+234743.0 03 45 46.48 23 47 43.05 18.5 0.4 -42.8 0.3 7.2 1.2
J034546.90+235300.3 03 45 46.90 23 53 00.33 19.3 0.4 -45.5 0.3 7.6 1.2
J034546.93+214449.2 03 45 46.93 21 44 49.22 21.4 0.4 -49.8 0.3 8.4 1.3
J034548.82+230849.7 03 45 48.82 23 08 49.71 22.2 1.1 -47.5 1.0 8.1 1.3
J034549.37+242507.1 03 45 49.37 24 25 07.05 20.1 0.6 -40.6 0.5 6.9 1.1
J034549.37+230834.7 03 45 49.37 23 08 34.74 21.2 1.6 -42.9 1.6 7.4 1.2
J034549.42+235705.7 03 45 49.42 23 57 05.74 20.3 0.6 -43.9 0.6 7.4 1.2
J034549.61+242203.9 03 45 49.61 24 22 03.90 21.5 0.8 -43.9 0.8 7.5 1.2
J034549.94+231944.8 03 45 49.94 23 19 44.79 15.9 0.3 -44.9 0.2 7.3 1.2
J034550.62+234436.9 03 45 50.62 23 44 36.89 21.9 0.5 -46.4 0.5 7.9 1.3
J034550.66+240903.4 03 45 50.66 24 09 03.40 18.1 0.5 -42.8 0.5 7.1 1.2
J034551.03+233717.0 03 45 51.03 23 37 17.00 20.0 1.3 -44.6 1.3 7.5 1.2
J034551.10+242610.9 03 45 51.10 24 26 10.86 18.5 0.5 -44.4 0.5 7.4 1.2
J034551.95+251001.7 03 45 51.95 25 10 01.66 18.9 0.3 -45.7 0.2 7.6 1.2
J034552.75+232754.1 03 45 52.75 23 27 54.12 18.4 0.3 -45.1 0.2 7.5 1.2
J034553.78+242808.5 03 45 53.78 24 28 08.48 23.6 0.5 -47.5 0.4 8.1 1.3
J034554.48+243316.2 03 45 54.48 24 33 16.24 19.9 0.8 -45.5 0.8 7.6 1.2
J034554.96+233358.0 03 45 54.96 23 33 58.03 18.0 0.3 -45.7 0.2 7.6 1.2
J034555.00+241325.8 03 45 55.00 24 13 25.84 20.3 0.5 -42.6 0.4 7.2 1.2
J034555.17+225131.1 03 45 55.17 22 51 31.05 18.5 0.3 -47.6 0.2 7.9 1.3
J034555.73+274900.8 03 45 55.73 27 49 00.79 15.1 1.9 -43.1 1.9 6.9 1.2
J034556.97+230129.1 03 45 56.97 23 01 29.08 21.6 0.3 -46.8 0.2 7.9 1.3
J034557.09+242100.8 03 45 57.09 24 21 00.78 15.2 0.9 -42.0 0.9 6.8 1.1
J034557.70+240305.0 03 45 57.70 24 03 05.04 17.9 0.3 -41.6 0.2 7.0 1.1
J034557.91+240840.9 03 45 57.91 24 08 40.86 19.0 0.4 -43.2 0.3 7.2 1.2
J034558.80+262001.9 03 45 58.80 26 20 01.91 18.4 0.4 -44.0 0.3 7.3 1.2
J034559.14+252354.9 03 45 59.14 25 23 54.91 20.3 1.1 -45.8 1.0 7.7 1.2
J034559.20+234846.9 03 45 59.20 23 48 46.93 19.9 0.3 -45.3 0.2 7.6 1.2
J034600.92+221229.5 03 46 00.92 22 12 29.54 20.9 0.3 -50.5 0.2 8.4 1.3
J034602.77+234414.3 03 46 02.77 23 44 14.33 19.1 0.5 -44.1 0.4 7.4 1.2
J034602.90+243140.4 03 46 02.90 24 31 40.44 18.6 0.9 -43.5 0.9 7.3 1.2
J034602.97+244055.5 03 46 02.97 24 40 55.52 16.9 0.7 -40.5 0.6 6.7 1.1
J034603.46+242056.9 03 46 03.46 24 20 56.85 18.7 0.5 -40.8 0.5 6.9 1.1
J034603.66+255229.0 03 46 03.66 25 52 29.02 20.4 0.3 -49.8 0.2 8.2 1.3
J034603.82+252710.6 03 46 03.82 25 27 10.59 21.7 0.4 -45.3 0.3 7.7 1.2
J034604.30+235540.7 03 46 04.30 23 55 40.70 16.3 0.4 -41.3 0.4 6.8 1.1
J034604.57+240955.7 03 46 04.57 24 09 55.73 17.8 0.5 -42.1 0.4 7.0 1.1
J034605.10+234535.0 03 46 05.10 23 45 34.97 19.4 0.3 -42.4 0.2 7.2 1.2
J034605.25+225853.6 03 46 05.25 22 58 53.56 18.5 0.7 -50.6 0.7 8.3 1.3
J034606.05+235819.3 03 46 06.05 23 58 19.29 20.1 0.3 -43.3 0.2 7.3 1.2
J034606.51+243402.4 03 46 06.51 24 34 02.42 19.4 0.6 -47.9 0.5 7.9 1.3
J034606.91+243345.8 03 46 06.91 24 33 45.80 19.6 0.7 -46.7 0.6 7.8 1.2
